# x y z radius flag s ra dec R_eff
-156.34112034074025 -91.60963908272117 -1.535691593218429 17.110571057372518 45 181.2104583928139 210.3685956165176 -0.4855663461932944 22.50109951709552
-171.90740145336076 -126.1532529401354 30.926938608932428 17.076992123295014 46 215.46060761435115 216.27286813455515 8.252668521752682 23.306422469178845
-221.32909089009024 56.30507557336181 110.0825720867724 17.02413480686388 47 253.52514803623578 165.72698545589432 25.734889477837875 23.15268909517904
-183.06017509461057 71.84880494964459 79.77539895253537 16.99327998343361 48 212.2201516265544 158.57062021420037 22.080486492710914 22.345715327262457
-116.70374128809489 -152.15883760654108 228.47020859075164 16.98193648249395 49 298.27958580149914 232.51228869676095 49.99246677555684 23.51668509234496
-235.13147693730227 -121.65983925300144 36.612214238178424 16.92279052442511 50 267.26088783285434 207.3575860741747 7.873739158428994 22.728245012442546
-63.7907209292604 -178.56788496078482 176.79321264874037 16.863872174145545 51 259.25197328989725 250.34148748336355 42.995102385178406 21.33380629630784
-239.33746870262965 -29.31959162258395 97.95268487784708 16.815873173568903 52 260.2629263892115 186.98411475299605 22.108424974061634 23.005469023082423
-133.83517358177025 -36.456482817386565 62.11166548506846 16.789948192191584 53 151.98285369213863 195.23757701110222 24.121657564105828 23.09784412730475
-283.9561206882957 -64.94875748659038 71.21821288972242 16.739731806794246 54 299.869060462402 192.88353477613197 13.738899655836157 23.239315357890643
-33.392424353117384 -106.27526558809443 81.46905833611724 16.72012389966206 55 138.00975888020508 252.55692017093045 36.17927603175283 21.501006257976872
-109.73431177490374 123.1946204172497 148.04147216839823 16.698391222648606 56 221.66373443179344 131.6927159892769 41.902505271114066 22.179121968087742
-88.65067322797702 67.11145282286277 214.751686567432 16.685305880320023 57 241.82881517165288 142.8730898463756 62.62696071104868 22.52277610501433
-263.01477725133464 -161.511033837799 87.40799944856202 16.654647051046396 58 320.7845779826761 211.5530826823533 15.812009401079063 20.55108453377075
-62.107597367231925 -177.07533074527362 70.57140398726011 16.640862242775203 59 200.48279095725724 250.67213423944577 20.6101391996591 21.032089087117818
-225.26493503836923 -200.91122529609407 58.378859603062466 16.59955434682779 60 307.43731500319325 221.72940671022556 10.946286563482332 21.961773015933584
-139.86620708893088 102.06816044281999 48.04474367128941 16.57063729070215 61 179.69074170937367 143.8796885910318 15.508100947229366 22.953428375721163
-250.55496172325215 112.04618151136539 29.61054162869465 16.566252446334943 62 276.0596308969547 155.90618721835733 6.157471020336008 21.755673458122086
-180.78398310346097 -241.4572375139921 9.906271870622984 16.554712127918666 63 301.7989070838653 233.17704962018485 1.881019204337323 22.81848619373572
-216.47297927722855 -3.532044345318779 139.1171889965016 16.509352100965224 64 257.3453290205693 180.934773840991 32.72351469702764 22.67688313173284
-298.30299422424065 100.54006807804545 63.218926425180484 16.467520243875782 65 321.0757142959239 161.37412083297087 11.355577240879144 21.25154934985472
-107.37055115888344 160.09919823380181 184.8910727270208 16.441356448932837 66 267.1046560908609 123.84778719731045 43.804876740704096 22.736268363159624
-196.09699851129471 -112.64275351193538 131.86965643363726 16.34849621072743 67 261.7862277351788 209.87407840295057 30.247103422004447 22.16461625923505
-154.32485914868704 61.63811077032265 219.05350740988968 16.32758548697393 68 274.9542833984793 158.22798839869552 52.815234909040285 22.321850610778494
-243.6255693154128 45.80734448455181 131.62552013672183 16.32645826285422 69 280.67242184484024 169.35136902562715 27.96712827455362 21.556374832571255
-165.4035949576183 92.6883454821609 195.37337914621494 16.32636418350856 70 272.2503184426694 150.73473910790054 45.858665311661454 22.346205249167486
-105.46584058028188 -92.86226048409394 254.05440772136706 16.304443850322077 71 290.3275478389465 221.36379220673797 61.05223385428819 21.24227340010767
-236.7636134545985 1.7674970108206305 201.64809942888627 16.282493429747824 72 311.00175032472697 179.5722812456148 40.41976173535564 21.725456781353703
