# x y z radius void edge r ra dec Reff
-164.26050723984838 25.200494740872653 177.85197854187663 16.085508972266155 80 0 243.40892638754474 171.27781158310148 46.94272238715671 22.096576553126127
-145.3300024139806 -86.99956299156864 171.511428447828 16.076983862957736 81 0 241.05166178764657 210.90619718818945 45.35816353169249 21.78456262473768
-151.93551644096954 -223.40713245448703 147.77654330109104 16.07326332415878 82 0 307.94976008716105 235.7810244420611 28.67705859044224 20.97648597861973
-131.19933700461945 84.9376263311771 213.35407297167146 16.055152296192777 83 0 264.476136637746 147.08123399219295 53.77518443128322 21.386923824726892
-142.58940115173868 -232.45190176632818 117.32233808669416 16.035566834029023 84 0 296.86723458428804 238.47443748363705 23.278533639594908 21.225001355255475
-250.4421680221547 -77.28120444160264 111.68476805877847 15.988209721858661 85 0 284.8984933268779 197.14912951603677 23.07999916632463 22.407644833072826
-56.95132476365285 -176.3840193799564 71.72625385888341 15.98545525978534 86 1 198.74463811029693 252.10563642441875 21.155266321830098 19.580886617334574
-206.80320463117172 -9.20884120202493 237.21940675800252 15.978595911975521 87 1 314.8418891199598 182.54966749819104 48.890612045744156 20.409896072062313
-126.81950030447392 -39.34830323309476 168.5908260708063 15.9560479281577 88 0 214.602752219157 197.23755561555626 51.775732070069466 22.423047248520387
-104.81199562378649 28.306576558220492 238.7332547468669 15.94653070525524 89 1 262.26014494223 164.88668629443924 65.54570485752632 19.077262595508984
-195.6386087911568 200.0897522270112 120.23995213787121 15.883884811709626 90 0 304.57843043479556 134.3555655759414 23.25194259198383 21.082899737781183
-252.06623867463404 27.774180189046533 -7.304623877457393 15.871661641173297 91 1 253.69696745279063 173.71216995743788 -1.64992893842492 19.92844213440142
-108.29683027843456 206.1284379210461 199.0589512076973 15.870149802382617 92 0 306.33576745792357 117.71677158368877 40.527009059688616 20.949471674945027
-169.3954955504066 171.37613473471046 6.133854033238903 15.847264802017117 93 1 241.04405745564137 134.66698815846786 1.458164505986165 20.574060461058323
-142.85891236097 118.71359825662428 187.96046214179765 15.84312747090808 94 0 264.255033217066 140.27393055143054 45.33950759982955 20.900678140844544
-202.81334105016967 -179.53925285770188 -0.9945144416883247 15.817113457807714 95 1 270.86635760760134 221.51666104234516 -0.21036797889016456 20.176980955555926
-252.1506849785437 4.903138819549688 118.37544790790716 15.801168203884167 96 0 278.5978380620176 178.8860083382332 25.14415817909389 20.440660474867496
-143.64853006199687 -74.54776018751807 280.44685155932444 15.782281728401351 97 1 323.79423294352523 207.42748161146028 60.01161719891907 19.874433386022414
-199.2073952829716 8.750731845631764 200.36933657470976 15.770973695264322 98 0 282.68008893915675 177.4847425763897 45.138998536751345 21.183900787109387
-58.970080444765564 68.61075770182104 59.51826967239221 15.756130285769663 99 0 108.29280163000548 130.6786430479279 33.3399213463749 21.546337130275848
-239.87563517692507 178.5366880193845 109.65164843744358 15.745095749447392 100 1 318.4951386214757 143.34011212654016 20.13787772411972 20.654586372532584
-134.16331673627997 71.75227683685937 249.05213281532687 15.700149735723913 101 0 291.84781933195234 151.8615524919459 58.57935471695343 21.26414027669621
-115.51688037247219 2.257561502204461 242.84654822609784 15.697870552064094 102 1 268.93064574394407 178.88040360972755 64.5563280753094 20.60500616789211
-139.23591880707167 -164.52984157632952 242.09501084080458 15.697038939130762 103 1 324.1399452847347 229.75991581425285 48.321195609110084 19.39194564143133
-249.1612827370798 128.4021487694034 144.62652107459934 15.68710975498522 104 1 315.41288372850045 152.73625165368793 27.29234310685136 21.302988380658505
-75.53930662406152 51.02526639814308 173.37437427893434 15.683283555389576 105 1 195.87863158817876 145.96177336023774 62.265210989543064 21.172954108381333
-206.35414916407967 -89.14125317649804 162.30856340694993 15.680287262196996 106 0 277.25848526300445 203.36346952229408 35.831621811672534 21.326029001812767
