# NSAID zone depth edge out
1800 22 5 0 0
1804 22 4 0 0
1805 22 5 0 0
1808 22 5 0 0
1809 1035 0 1 0
1813 1035 0 1 0
1817 1035 0 1 0
1819 1035 0 1 0
1820 1035 0 1 0
1826 1035 0 1 0
1827 1035 0 1 0
1828 22 4 0 0
1831 1035 0 1 0
1832 1035 0 1 0
1835 1035 0 1 0
1838 566 2 0 0
1842 713 5 0 0
1852 22 5 0 0
1853 1035 0 1 0
1855 22 4 0 0
1856 1035 0 1 0
1860 713 5 0 0
1864 1035 0 1 0
1867 1035 0 1 0
1872 1035 0 1 0
1873 566 3 0 0
1874 684 4 0 0
1876 828 3 0 0
1877 566 2 0 0
1879 684 5 0 0
1882 22 5 0 0
1888 1035 0 1 0
1892 1035 0 1 0
1895 1035 0 1 0
1897 350 3 0 0
1898 1035 0 1 0
1899 828 3 0 0
1900 1035 0 1 0
1902 1035 0 1 0
1904 828 4 0 0
1905 350 6 0 0
1906 828 3 0 0
1908 828 3 0 0
1911 22 5 0 0
1925 350 3 0 0
1931 1035 0 1 0
1935 350 2 0 0
1939 22 5 0 0
1942 597 3 0 0
1945 713 2 0 0
1946 684 2 0 0
1947 22 4 0 0
1950 684 5 0 0
1956 1035 0 1 0
1964 573 0 0 0
1966 350 5 0 0
1971 22 4 0 0
1973 350 5 0 0
1974 22 5 0 0
1975 1035 0 1 0
1983 1035 0 1 0
1985 22 4 0 0
1991 597 3 0 0
1999 1035 0 1 0
2003 713 3 0 0
2006 559 1 0 0
2007 22 6 0 0
2012 684 3 0 0
2015 22 4 0 0
2024 828 2 0 0
2027 828 2 0 0
2029 566 2 0 0
2038 713 4 0 0
2043 566 2 0 0
2044 22 4 0 0
2046 684 3 0 0
2066 559 1 0 0
2068 566 1 0 0
2070 22 4 0 0
2072 1035 0 1 0
2075 1035 0 1 0
2077 935 1 0 0
2078 935 0 0 0
2087 713 3 0 0
2088 22 5 0 0
2091 22 4 0 0
2094 566 3 0 0
2095 1035 0 1 0
2098 22 5 0 0
2099 691 2 0 0
2106 691 2 0 0
2108 935 2 0 0
2112 1035 0 1 0
2113 1035 0 1 0
2114 1035 0 1 0
2115 1035 0 1 0
2117 1035 0 1 0
2119 1035 0 1 0
2122 1035 0 1 0
2125 1035 0 1 0
2126 1035 0 1 0
2129 22 4 0 0
2132 691 1 0 0
2135 1035 0 1 0
2136 1035 0 1 0
2137 1035 0 1 0
2138 1035 0 1 0
2142 850 1 0 0
2143 850 3 0 0
2144 850 3 0 0
2145 1035 0 1 0
2146 850 3 0 0
2149 1035 0 1 0
2152 691 1 0 0
2154 850 3 0 0
2155 1035 0 1 0
2163 1035 0 1 0
2164 1035 0 1 0
2165 1035 0 1 0
2166 22 4 0 0
2167 1035 0 1 0
2169 1035 0 1 0
2172 1035 0 1 0
2173 22 5 0 0
2174 850 4 0 0
2176 1035 0 1 0
2177 1035 0 1 0
2178 22 6 0 0
2180 22 6 0 0
2181 1035 0 1 0
2182 691 2 0 0
2184 22 6 0 0
2185 22 5 0 0
2186 22 6 0 0
2187 22 6 0 0
2190 1035 0 1 0
2195 1035 0 1 0
2197 713 5 0 0
2198 850 2 0 0
2200 1035 0 1 0
2201 22 4 0 0
2204 1035 0 1 0
2205 1035 0 1 0
2206 1035 0 1 0
2207 1035 0 1 0
2217 1035 0 1 0
2220 1035 0 1 0
2221 935 2 0 0
2222 935 1 0 0
2224 22 4 0 0
2225 1035 0 1 0
2230 1035 0 1 0
2232 1035 0 1 0
2234 1035 0 1 0
2235 22 5 0 0
